2095,	2095
2282,	187
2449,	167
2618,	169
2787,	169
2954,	167
3121,	167
3290,	169
3455,	165
3677,	222
3846,	169
4011,	165
4180,	169
4349,	169
4516,	167
4683,	167
4850,	167
5015,	165
5182,	167
5351,	169
5518,	167
5685,	167
6044,	359
6211,	167
6378,	167
6546,	168
6716,	170
6881,	165
7048,	167
7215,	167
7381,	166
7548,	167
7718,	170
7890,	172
8059,	169
8224,	165
8391,	167
8560,	169
8727,	167
8894,	167
9063,	169
9233,	170
9402,	169
9569,	167
9736,	167
9905,	169
10070,	165
10239,	169
10406,	167
10583,	177
10749,	166
10916,	167
11086,	170
11253,	167
11420,	167
11589,	169
11754,	165
11923,	169
12090,	167
12257,	167
12424,	167
12591,	167
12757,	166
12927,	170
13094,	167
13269,	175
13435,	166
13821,	386
13988,	167
14155,	167
14320,	165
14491,	171
14658,	167
14825,	167
14992,	167
15159,	167
15326,	167
15496,	170
15662,	166
15829,	167
15996,	167
16176,	180
16353,	177
16519,	166
16686,	167
16854,	168
17023,	169
17192,	169
17362,	170
17536,	174
17706,	170
17873,	167
18041,	168
18211,	170
18381,	170
18547,	166
18715,	168
18891,	176
19060,	169
19227,	167
19394,	167
19561,	167
19728,	167
19893,	165
20062,	169
20231,	169
20398,	167
20565,	167
20732,	167
20899,	167
21073,	174
21238,	165
21639,	401
21806,	167
21973,	167
22138,	165
22309,	171
22476,	167
22643,	167
22810,	167
22979,	169
23146,	167
23316,	170
23483,	167
23650,	167
23817,	167
23983,	166
24151,	168
24320,	169
24487,	167
24656,	169
24821,	165
24988,	167
25159,	171
25326,	167
25493,	167
25662,	169
25827,	165
25996,	169
26163,	167
26330,	167
26497,	167
26664,	167
26829,	165
27000,	171
27167,	167
27334,	167
27501,	167
27671,	170
27840,	169
28007,	167
28174,	167
28341,	167
28508,	167
28674,	166
28842,	168
29011,	169
29457,	446
29624,	167
29791,	167
29957,	166
30127,	170
30294,	167
30461,	167
30628,	167
30795,	167
30962,	167
31133,	171
31298,	165
31465,	167
31632,	167
31797,	165
31964,	167
32138,	174
32304,	166
32472,	168
32638,	166
32806,	168
32975,	169
33142,	167
33309,	167
33476,	167
33645,	169
33819,	174
33984,	165
34151,	167
34318,	167
34484,	166
34651,	167
34819,	168
34987,	168
35154,	167
35321,	167
35491,	170
35660,	169
35830,	170
35997,	167
36164,	167
36330,	166
36500,	170
36667,	167
36834,	167
37275,	441
37442,	167
37609,	167
37775,	166
37945,	170
38112,	167
38279,	167
38446,	167
38613,	167
38780,	167
38951,	171
39118,	167
39286,	168
39454,	168
39619,	165
39789,	170
39956,	167
40122,	166
40290,	168
40458,	168
40625,	167
40795,	170
40962,	167
41132,	170
41298,	166
41467,	169
41635,	168
41802,	167
41969,	167
42136,	167
42308,	172
42477,	169
42644,	167
42811,	167
42978,	167
43144,	166
43317,	173
43483,	166
43650,	167
43817,	167
43984,	167
44149,	165
44320,	171
44487,	167
44654,	167
45093,	439
45265,	172
45432,	167
45601,	169
45775,	174
45944,	169
46109,	165
46278,	169
46446,	168
46613,	167
46781,	168
46954,	173
47121,	167
47290,	169
47457,	167
47624,	167
47793,	169
47958,	165
48127,	169
48294,	167
48461,	167
48628,	167
48795,	167
48961,	166
49131,	170
49300,	169
49468,	168
49635,	167
49801,	166
49971,	170
50140,	169
50305,	165
50472,	167
50639,	167
50808,	169
50977,	169
51142,	165
51311,	169
51480,	169
51645,	165
51826,	181
51993,	167
52161,	168
52327,	166
52499,	172
52668,	169
52850,	182
53225,	375
53408,	183
53575,	167
53745,	170
53912,	167
54081,	169
54248,	167
54413,	165
54585,	172
54751,	166
54919,	168
55086,	167
55252,	166
55419,	167
55593,	174
55765,	172
55932,	167
56097,	165
56269,	172
56436,	167
56603,	167
56770,	167
56936,	166
57108,	172
57273,	165
57442,	169
57611,	169
57776,	165
57945,	169
58113,	168
58282,	169
58449,	167
58618,	169
58787,	169
58957,	170
59124,	167
59291,	167
59465,	174
59634,	169
59802,	168
59969,	167
60137,	168
60307,	170
60736,	429
60903,	167
61072,	169
61271,	199
61443,	172
61642,	199
61815,	173
61989,	174
62160,	171
62328,	168
62502,	174
62667,	165
62836,	169
63006,	170
63177,	171
63344,	167
63514,	170
63683,	169
63850,	167
64017,	167
64184,	167
64351,	167
64517,	166
64689,	172
64854,	165
65023,	169
